pmid,title,abstract,authors,journal,publication_date,retrieved_with_keyword
28550808,The Association between Height and Hypertension in Indonesia.,"There is growing interest in the influence of early-life conditions on the development of disease. Among diseases in adulthood, hypertension is particularly important for the developing world because considerably more people there are and will be afflicted with the disease than in the developed world and hypertensives there are often unaware of their disease status. We employed height as a proxy for the influence of early-life conditions and estimated the relation between height and hypertension status in Indonesia. We analysed 9,597 men and 10,143 women, aged 25-70. We employed a linear probability model to relate height to hypertension status by sex and age. When we controlled for an array of covariates, a 10cm increase in height was related to an approximately 7% point reduction in the likelihood of being hypertensive for both men and women. This is about a quarter of the prevalence of hypertension in Indonesia. This relation was linear and stronger among older individuals. In addition, the pre- and post-pubertal environments (measured by leg and trunk lengths, respectively) contributed similarly to hypertension. Further evidence suggests that women are more likely to be hypertensive at older ages because they are on average shorter than men.",Sohn K,Econ Hum Biol,2017 Nov,Hypertension AND Indonesia
36293846,District-Level Inequalities in Hypertension among Adults in Indonesia: A Cross-Sectional Analysis by Sex and Age Group.,"BACKGROUND: An estimated 1.28 billion adults 30-79 years old had hypertension globally in 2021, of which two-thirds lived in low- and middle-income countries (LMICs). Previous studies on geographic and socioeconomic inequalities in hypertension among adults have limitations: (a) most studies used individual-level data, while evidence from locality-level data is also crucial for policymaking; (b) studies from LMICs are limited. Thus, our study examines geographic and socioeconomic inequalities in hypertension among adults across districts in Indonesia. METHODS: We combined geospatial and quantitative analyses to assess the inequalities in hypertension across 514 districts in Indonesia. Hypertension data were obtained from the Indonesian Basic Health Survey (Riskesdas) 2018. Socioeconomic data were obtained from the World Bank. Six dependent variables included hypertension prevalence among all adults (18+ years), male adults, female adults, young adults (18-24 years), adults (25-59 years), and older adults (60+ years). RESULTS: We also found significant geographic and socioeconomic inequalities in hypertension among adults across 514 districts. All hypertension indicators were higher in the most developed region than in the least developed region. Districts in the Java region had up to 50% higher prevalence of hypertension among all adults, males, females, young adults, adults, and older adults. Notably, districts in the Kalimantan region had the highest prevalence of hypertension, even compared to those in Java. Moreover, income level was positively associated with hypertension; the wealthiest districts had higher hypertension than the poorest districts by up to 30%, but only among males and older adults were statistically significant. CONCLUSIONS: There were significant inequalities in hypertension among adults across 514 districts in the country. Policies to reduce such inequalities may need to prioritize more affluent urban areas and rural areas with a higher burden.","Oktamianti P, Kusuma D, Amir V, Tjandrarini DH, Paramita A",Int J Environ Res Public Health,2022 Oct 14,Hypertension AND Indonesia
38777393,Effectiveness of community-based diabetes and hypertension prevention and management programmes in Indonesia and Viet Nam: a quasi-experimental study.,"INTRODUCTION: Non-communicable diseases (NCDs) have surpassed infectious diseases as the leading global cause of death, with the Southeast Asian region experiencing a significant rise in NCD prevalence over the past decades. Despite the escalating burden, screening for NCDs remains at very low levels, resulting in undetected cases, premature mortality and high public healthcare costs. We investigate whether community-based NCD prevention and management programmes are an effective solution. METHODS: In Indonesia, we compare participants in the community-based NCD screening and management programme Pos Pembinaan Terpadu-Penyakit Tidak Menular with matched non-participants with respect to their uptake of screening activities, health-related behaviour and knowledge and metabolic risk factors. We use statistical matching to redress a possible selection bias (n=1669). In Viet Nam, we compare members of Intergenerational Self-Help Clubs, which were offered similar NCD health services, with members of other community groups, where such services were not offered. We can rely on two waves of data and use a double-difference approach to redress a possible selection bias and to measure the impacts of participation (n=1710). We discuss strengths and weaknesses of the two approaches in Indonesia and Viet Nam. RESULTS: In Indonesia, participants have significantly higher uptake of screening for hypertension and diabetes (+13% from a control mean of 88% (95% CI 9% to 17%); +93% from a control mean of 48% (95% CI 79% to 108%)). In both countries, participants show a higher knowledge about risk factors, symptoms and complications of NCDs (Indonesia: +0.29 SD (0.13-0.45), Viet Nam: +0.17 SD (0.03-0.30)). Yet, the improved knowledge is only partly reflected in improved health behaviour (Viet Nam: fruit consumption +0.33 SD (0.15-0.51), vegetable consumption +0.27 SD (0.04-0.50)), body mass index (BMI) (Viet Nam: BMI -0.07 SD (-0.13 to -0.00)) or metabolic risk factors (Indonesia: systolic blood pressure: -0.13 SD (-0.26 to -0.00)). CONCLUSION: Community-based NCD programmes are well suited to increase screening and to transmit health knowledge. Due to their extensive outreach within the community, they can serve as a valuable complement to the screening services provided at the primary healthcare level. Yet, limited coverage, insufficient resources and a high staff turnover remain a problem. TRIAL REGISTRATION NUMBER: NCT05239572.","Fritz M, Grimm M, My Hanh HT, Koot JAR, Nguyen GH, Nguyen TP, Probandari A, Widyaningsih V, Lensink R",BMJ Glob Health,2024 May 22,Hypertension AND Indonesia
39280268,Enhancing adolescent hypertension prevention in Indonesia through interactive multimedia: Model development and validation.,"Adolescent hypertension is emerging as a significant health challenge. Peer-led interventions utilizing engaging multimedia platforms have demonstrated the potential to enhance prevention behaviors among adolescents. However, there remains a gap in the literature comparing the effectiveness of multimedia intervention with traditional lecture-based approach in adolescent hypertension prevention in Indonesia. The aim of this study was to compare the traditional lecture-based approach and interactive multimedia intervention (e-module, animated videos, and infographics) on adolescents' knowledge, attitudes, and practices regarding adolescent hypertension prevention. A quasi-experimental study with pre-test and post-test control group study was conducted from June to December 2023 in two senior high schools in districts of Pedurungan and Kedungmundu, Semarang, Central Java, Indonesia. To prepare the multimedia model, the Analysis, Design, Development, Implementation, and Evaluation (ADDIE) framework and mapping intervention approach were employed to ensure effective decision-making at each step. A total of 100 high school students were involved, with 50 assigned to the intervention group and 50 to the control group. The intervention group received a multimedia model from the peer educators, while the control group received a traditional PowerPoint-based presentation from the community healthcare workers. The hypertension prevention knowledge, attitude, and practice were assessed using validated questionnaires with 20, 15, and 15 items, respectively. This study found that, after model implementation, significant improvements were observed in students' knowledge, attitudes, and practices regarding hypertension prevention (all had p<0.001). Specifically, knowledge scores increased by 4.78 points, attitude scores by 10.64 points, and practice scores by 2.9 points. This study highlights that multimedia interventions could significantly improve hypertension prevention behaviors among adolescents by enhancing their knowledge, attitudes, and practices through engaging and interactive multimedia materials.","Wijayati S, Sakundarno M, Surjoputro A, Budiyono B",Narra J,2024 Aug,Hypertension AND Indonesia
31465584,Socioeconomic inequalities in the utilisation of hypertension and type 2 diabetes management services in Indonesia.,"OBJECTIVES: To describe socioeconomic inequalities in the utilisation of hypertension and type 2 diabetes (T2D) management services in the Indonesian population and to determine whether education level and geographical location contribute to inequalities. METHODS: Cross-sectional study using data from the 2014 Indonesia Family Life Survey (N = 30 762 for hypertension; N = 6758 for T2D). Socioeconomic status was measured by household consumption. The prevalence of hypertension and T2D was determined using internationally standardised clinical measurement, while disease management was defined by participation in screening and current use of medication. The relative index of inequality (RII) was used to estimate inequalities, adjusted to education level and geographical location. RESULTS: For all household consumption quintiles, we observed low rates of screening participation for T2D and low medication use in both hypertension and T2D. We found socioeconomic inequalities in screening participation for hypertension (RII 2.68, 95% CI 2.42-2.96) and T2D (RII 7.30, 95% CI 5.48-9.72) and also for medication use in hypertension (RII 3.09, 95% CI 2.28-4.18) and T2D (RII 2.81, 95% CI 1.09-7.27). Education level contributed to socioeconomic inequalities in screening utilisation for both hypertension and T2D. Geographical location contributed to inequalities in screening utilisation and medication use for T2D. Socioeconomic inequalities in medication use for hypertension and T2D were larger among men than women. CONCLUSIONS: Large socioeconomic inequalities were found in the utilisation of hypertension and T2D management services in Indonesia. Improving affordability, availability and approachability of services is crucial to reduce such inequalities.","Mulyanto J, Kringos DS, Kunst AE",Trop Med Int Health,2019 Nov,Hypertension AND Indonesia
34602880,Differences Risk Factors for Hypertension Among Elderly Woman in Rural and Urban Indonesia.,"Introduction: Hypertension is a major risk factor for cardiovascular disease. A high prevalence of hypertension is found in elderly women. Rural areas have different characteristics from urban areas. Therefore, it is necessary to identify risk factors for hypertension in rural and urban elderly women for optimal therapy management. Methods: This cross-sectional study was conducted in rural (Banyuwangi district) and urban (Surabaya city) areas, East Java, Indonesia. The study was carried out in 2015-2016 in women aged >/=45 years, residing in an area for >/=10 years, and willing to collect urine for 24 hours. Respondents consisted of 54 older adults from rural areas and 51 older adults from urban areas who actively participate in the integrated healthcare center for the elderly. The independent t-test and multivariate logistic regression were used to analyze the data. Results: The prevalence of hypertension in the rural area was 27.8% and in the urban area was 37.25%. The risk factors for hypertension in the urban area were urine sodium level (AOR=1.02, 95% CI=1.001-1.04, p-value=0.043), urine potassium level (AOR=0.88, 95% CI=0.78-0.999, p-value=0.022), and Body Mass Index (AOR=1.26, 95% CI=1.06-1.49, p-value=0.008). Meanwhile, the factor associated with hypertension in the rural area was age (AOR=1.08, 95% CI=1.003-1.16, p-value=0.042). Conclusion: The prevalence of hypertension in the urban area was higher than in the rural area. There were differences in risk factors for hypertension that occurred both in rural and urban areas. However, risk factors in both areas are equally important to overcome. Collaboration from multiple stakeholders and sectors is urgently needed, such as the Public Health Center, Integrated Assistance Post for Non-Communicable Diseases, and the local health office.","Astutik E, Farapti F, Tama TD, Puspikawati SI",Yale J Biol Med,2021 Sep,Hypertension AND Indonesia
33256570,The Effect of Educational Program on Hypertension Management Toward Knowledge and Attitude Among Uncontrolled Hypertension Patients in Rural Area of Indonesia.,"BACKGROUND: Hypertension is a major public health threat affecting adults worldwide. The low hypertension management knowledge causes uncontrolled high blood pressure and it's a complication. It requires patients with uncontrolled hypertension to increase adherence to either pharmacological therapy or nonpharmacological therapy aimed at achieving normal blood pressure. PURPOSE: The purpose of this study was to examine the effectiveness of a short-term educational program on hypertension management related knowledge and attitude among uncontrolled hypertension patients in Malang, Indonesia. METHODS: The research design used a Quasi-Experimental study with the design of one group pre-post-test. The participants were 41 uncontrolled hypertension patients chosen by purposive sampling at the Ciptomulyo Public Health Center. The questionnaires were used to collect the data. The Hypertension Knowledge-Level Scale (HK-LS) questionnaire was used to determine the knowledge of uncontrolled hypertension patients. KAP questionnaire was used to determine the attitude of the participants. The data were analyzed statistically using the Wilcoxon Signed Rank Test. RESULTS: The majority of respondents were aged 55-65 (54%), female (83%), housewife (76%), graduated elementary school (71%), and long suffered from hypertension >1 year (68%). The result showed that the provision of the educational program increases knowledge (p = 0,000) and attitude (p = 0,008) of patients on the management of hypertension. CONCLUSION: Health education could improve hypertension management knowledge and attitude among uncontrolled hypertension in the rural area. Furthermore, Health providers should consider giving the education among uncontrolled hypertension.","Kurnia AD, Melizza N, Ruhyanudin F, Masruroh NL, Prasetyo YB, Setyowati CI, Khoirunnisa O",Community Health Equity Res Policy,2022 Jan,Hypertension AND Indonesia
36051316,Modifiable and Non-modifiable Factors Associated with Low Awareness of Hypertension Treatment in Indonesia: A Cross-Sectional Population-Based National Survey.,"INTRODUCTION: Low awareness about hypertension treatment is recognized as a significant cause of treatment failure. Therefore, identifying its underlying factors is essential for developing effective intervention strategies. This study aims to identify the modifiable and non-modifiable factors associated with low awareness about hypertension treatment. METHOD: This national, cross-sectional, population-based survey used publicly available data from the Indonesian Family Life Survey (IFLS-5) for 2014 among respondents with hypertension aged >/=15 years. Depression and insomnia, as modifiable factors, were assessed using the Centre for Epidemiologic Studies-Depression (CES-D) and the Patient-Recorded Outcomes Measurement Information System (PROMIS) questionnaire, respectively. Non-modifiable factors, such as sociodemographic information, were obtained from self-reported data. Logistic regression analysis was used to assess the association between these factors and low awareness about hypertension treatment. Odds ratios (ORs) with 95% confidence intervals (CIs) were reported. RESULT: The study recruited 7,920 respondents, the majority of whom were female (53.8%) and aged <60 years (71.1%). The prevalence of low awareness of hypertension treatment was 87.1% (51.8% in women and 48.2% in men). Being an elderly (OR: 1.60, 95%CI 1.36-1.88), being irregularly blood pressure control (OR: 4.40, 95% CI 3.78-5.13), having depressive symptoms (OR: 1.35, 95% CI 1.12-1.62), having insomnia (OR: 1.31, 95% CI 1.11-1.53), and having low satisfaction with health care (OR: 1.28, 95% CI 1.08-1.51) were associated with low awareness of hypertension treatment. Surprisingly, respondents with strong religiosity (OR: 1.62; 95% CI 1.25-2.09) were more likely to display low awareness of hypertension treatment. CONCLUSION: The main factors associated with low awareness of hypertension treatment are modifiable. Thus, health care professionals should integrate more patient-specific factors when designing tailored interventions.","Khoiry QA, Alfian SD, Abdulah R",Glob Heart,2022,Hypertension AND Indonesia
33538081,Hypertension and chronic kidney disease in Asian populations.,"The countries of Asia are home to multiple ethnicities. There are ethnic differences in diet, culture, and attitudes towards health screening, access to care, and treatment of chronic diseases. Chronic kidney disease (CKD) and end-stage kidney disease (ESKD) have rising incidence and prevalence due to increased affliction with non-communicable diseases of diabetes and hypertension. To prevent the expensive complications of ESKD, one of the most important risk factors to control is hypertension in patients with CKD. We performed a narrative review on the prevalence of CKD in patients with hypertension, the prevalence and control of hypertension in patients with CKD, and the dietary sodium intake in CKD populations.","Teo BW, Chan GC, Leo CCH, Tay JC, Chia YC, Siddique S, Turana Y, Chen CH, Cheng HM, Hoshide S, Minh HV, Sogunuru GP, Wang TD, Kario K",J Clin Hypertens (Greenwich),2021 Mar,Hypertension AND Indonesia
31935256,The implementation of community-based diabetes and hypertension management care program in Indonesia.,"Since 2010, Indonesian government has initiated a chronic disease management program, Prolanis (Program Pengendalian Penyakit Kronis) targeted for diabetes and hypertension. The program is continued at the commencement of universal health coverage (UHC) in 2014. ""This study aimed to report the utilization and cost of the implementation of Prolanis in Indonesia from 2014 to 2016, or two years since the commencement of Indonesian universal health coverage."" Secondary data analysis was performed using publicly available data and data obtained from the national health insurance agency (BPJS); while data on disease prevalence were collected from basic national health survey. There was an increase trend of Prolanis participants, from around 11,000 participants in 2014 to more than 250,000 in 2016. More than 70% of participants were adults living in Java, however, the acceptance rate was very low in other area. Across different activities in Prolanis, physical activity was the most participated ones. In comparison to other regions, regions in Java were the most active area. The total expenditure for Prolanis program in 2016 increased almost triple from the annual cost in 2014. However, the cost per person was actually decreased more than 50%. Within two years of UHC implementation, there were increase covered participants and total costs, but cost per individual was decreased and there was significant difference in of cost between Java and outside Java. Further study and routine monitoring-evaluation process by health authority is needed to assess whether the cost difference would affect the service quality.","Khoe LC, Wangge G, Soewondo P, Tahapary DL, Widyahening IS",PLoS One,2020,Hypertension AND Indonesia
34207848,Gender Differences in Prevalence and Risk Factors for Hypertension among Adult Populations: A Cross-Sectional Study in Indonesia.,"Although hypertension is among the main public health concerns in Indonesia, due to the scarcity of data, few studies have investigated the factors associated with hypertension in men and women. This study aimed to examine the prevalence of and factors associated with hypertension among adult men and women in Indonesia. The 2018 Survey of the Sleman Health Demographic and Surveillance System was utilized, consisting of 4328 individuals aged 18+ years. Multivariable logistic regression analysis was performed to determine the sociodemographic and health behavior factors of hypertension. Overall, the prevalence of hypertension was 40% (42% in men and 38% in women). Age, abdominal obesity and chronic non-communicable diseases were the common predictors of hypertension in men and women (p < 0.05). The odds ratio of hypertension among men with low education was lower than among those with high education (OR = 0.52, 95% CI: 0.29-0.94). For women, being in the poorest socioeconomic condition increased the risk of hypertension by 1.67 times compared to the richest (95% CI: 1.21-2.32). Gender differences in the prevalence of and factors associated with hypertension were observed among adult populations in Sleman District, Yogyakarta, Indonesia. Therefore, a gender-based approach in the health prevention strategy to control hypertension for men and women is needed.","Defianna SR, Santosa A, Probandari A, Dewi FST",Int J Environ Res Public Health,2021 Jun 9,Hypertension AND Indonesia
31131972,Hypertension and Dementia: A comprehensive review from the HOPE Asia Network.,"Approximately 365 million people in Asia were classified as elderly in 2017. This number is rising and expected to reach approximately 520 million by 2030. The risk of hypertension and cognitive impairment/dementia increases with age. Recent data also show that the prevalence of hypertension and age-related dementia are rising in Asian countries. Moreover, not many people in Asian countries are aware of the relationship between hypertension and cognitive impairment/dementia. Furthermore, hypertension control is poorer in Asia than in developed countries. Hypertension is known to be a major risk factor for damage to target organs, including the brain. Decreased cognitive function can indicate the presence of target organ damage in the brain. Twenty-four-hour blood pressure profiles and blood pressure variability have been associated with cognitive impairment and/or silent cerebral diseases, such as silent cerebral infarction or white matter lesions, which are predisposing conditions for cognitive impairment and dementia. Hypertension that occurs in midlife also affects the incidence of cognitive impairments in later life. Managing and controlling blood pressure could preserve cognitive functions, such as by reducing the risk of vascular dementia and by reducing the global burden of stroke, which also affects cognitive function.","Turana Y, Tengkawan J, Chia YC, Hoshide S, Shin J, Chen CH, Buranakitjaroen P, Nailes J, Park S, Siddique S, Sison J, Ann Soenarta A, Chin Tay J, Sogunuru GP, Zhang Y, Wang JG, Kario K",J Clin Hypertens (Greenwich),2019 Aug,Hypertension AND Indonesia
